ALLSKY_KT,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,RH2M,PS
0.61,3.12,3.2,4.72,8.62,68.19,101.18
0.49,2.52,3.3,2.23,10.45,71.44,101.47
0.57,2.93,3.44,2.51,9.88,68.62,101.7
0.45,2.32,3.24,2.99,10.76,80.19,101.97
0.55,2.86,3.38,3.48,9.91,69.88,102.25
0.48,2.51,3.26,1.7,9.74,65.69,102.2
0.47,2.5,3.61,1.28,10.37,63.25,102.01
0.47,2.5,3.74,2.16,10.76,70.69,101.75
0.39,2.13,3.59,3.65,11.02,80.88,101.5
0.67,3.67,3.73,3.15,10.46,82.12,101.55
0.32,1.76,3.96,4.52,11.8,89.06,101.66
0.16,0.92,4.08,3.91,11.97,86.62,100.96
0.27,1.52,4.13,6.26,10.93,76.5,100.87
0.59,3.31,3.95,2.91,11.52,72.81,101.56
0.6,3.39,3.96,1.43,10.82,70.75,101.59
0.66,3.73,3.85,2.25,10.35,68.88,101.51
0.51,2.92,3.79,1.96,10.12,66.56,101.43
0.57,3.29,3.89,2.23,10.62,68.75,101.6
0.44,2.58,4.37,1.98,10.76,69.88,101.72
0.28,1.66,4.4,4,10.81,85.88,101.37
0.14,0.84,4.43,5.17,11.5,85.69,101.04
0.7,4.25,4.43,3.43,10.58,73.62,101.42
0.58,3.51,4.2,5.08,10.23,68.31,101.35
0.64,3.91,4.03,4.78,11.22,56.5,101.39
0.56,3.5,3.87,2.79,13.22,50.31,101.11
0.62,3.84,3.99,3.03,12.12,77.94,101.37
0.55,3.46,4.29,2.06,12.58,75.69,101.42
0.48,3.09,4.6,1.38,11.58,55.25,100.82
0.57,3.66,4.02,3.09,10.19,65.19,100.92
0.38,2.43,4.56,2.5,10.82,68.62,100.84
0.34,2.25,4.69,3.88,12.01,80.69,100.15
0.56,3.69,4.07,4.2,9,65.69,100.9
0.62,4.07,4.16,4.24,8.12,56.44,101.09
0.45,3.05,4.65,3.6,8.43,50.5,100.39
0.56,3.81,4.02,2.75,9.28,59.5,100.54
0.49,3.35,4.8,3.12,13.07,59.62,100.31
0.3,2.1,4.83,3.93,13.04,59.31,99.59
0.42,2.92,4.87,5.3,11.84,74.31,100.11
0.57,3.97,4.27,2.21,13.41,66,101.45
0.59,4.2,4.34,3.03,13.7,63.06,101.99
0.6,4.26,4.38,2.91,11.84,71.81,102.02
0.61,4.38,4.43,1.87,12.15,64.56,101.7
0.6,4.37,4.46,1.28,13.4,60.38,101.55
0.56,4.12,4.94,1.59,14.41,52.06,101.45
0.58,4.26,4.39,2.2,15.08,49.38,100.94
0.29,2.14,5.28,3.4,13.9,55.12,100.4
